episode,total_reward,impressions_won,epsilon,smoothed_reward
1,21.288083744602336,33,1.0,21.2881
2,25.705255279784467,37,0.9995,23.4967
3,24.25559816058569,33,0.9990002500000001,23.7496
4,18.20228715218156,36,0.9985007498750001,22.3628
5,19.805142686230262,35,0.9980014995000627,21.8513
6,22.041852081044276,36,0.9975024987503127,21.883
7,25.551833566224325,33,0.9970037475009376,22.4072
8,24.706237875320834,39,0.9965052456271871,22.6945
9,26.381263785848233,38,0.9960069930043736,23.1042
10,20.044228883318397,33,0.9955089895078715,22.7982
11,16.92940883433394,30,0.9950112350131176,22.2647
12,24.578606270409576,34,0.9945137293956111,22.4575
13,22.28309168629509,36,0.9940164725309134,22.4441
14,19.684899639959095,32,0.993519464294648,22.247
15,16.333548367571122,34,0.9930227045625007,21.8528
16,24.68113721854169,37,0.9925261932102195,22.0295
17,21.562966778148883,39,0.9920299301136144,22.0021
18,19.52475956034239,33,0.9915339151485576,21.8645
19,17.110186410794558,30,0.9910381481909833,21.6142
20,25.297923208297277,35,0.990542629116888,21.7984
21,23.788824355654718,36,0.9900473578023296,21.8932
22,14.933387448766101,29,0.9895523341234285,21.5768
23,17.967906086874404,34,0.9890575579563669,21.4199
24,26.31549342724408,37,0.9885630291773887,21.6239
25,23.356531401935918,35,0.9880687476628001,21.6932
26,18.66469200876333,32,0.9875747132889687,21.5767
27,20.363430534792656,34,0.9870809259323243,21.5318
28,15.602044117060647,35,0.9865873854693582,21.32
29,20.89248789791766,31,0.9860940917766235,21.3053
30,24.91035621731239,39,0.9856010447307353,21.4254
31,22.536167159117927,36,0.98510824420837,21.4613
32,22.630410539562252,34,0.9846156900862658,21.4978
33,24.012117330139212,34,0.9841233822412228,21.574
34,27.408051383528914,36,0.9836313205501022,21.7456
35,20.54618440052664,33,0.9831395048898272,21.7113
36,18.281304511418572,33,0.9826479351373822,21.616
37,25.794311370826012,39,0.9821566111698136,21.729
38,21.30891324880297,35,0.9816655328642288,21.7179
39,21.135924511917512,37,0.9811747000977967,21.703
40,18.889768337687038,31,0.9806841127477479,21.6327
41,20.481465077127993,33,0.9801937706913741,21.6046
42,21.56460709607197,36,0.9797036738060285,21.6036
43,20.022335034044435,34,0.9792138219691255,21.5669
44,20.240687881822772,30,0.978724215058141,21.5367
45,23.115247083669793,33,0.978234852950612,21.5718
46,23.06754801587254,35,0.9777457355241367,21.6043
47,21.518873932258867,36,0.9772568626563747,21.6025
48,27.153901293594984,40,0.9767682342250465,21.7182
49,20.667330642416772,35,0.976279850107934,21.6967
50,30.501691956354488,42,0.9757917101828801,21.8728
51,27.275228227759737,39,0.9753038143277888,21.9787
52,23.119895429622236,37,0.974816162420625,22.0007
53,19.18210656217031,37,0.9743287543394147,21.9475
54,28.224344930205806,39,0.973841589962245,22.0637
55,24.84551101214225,37,0.973354669167264,22.1143
56,30.516899844698475,40,0.9728679918326804,22.2644
57,22.369674272856596,39,0.972381557836764,22.2662
58,24.190185239786697,35,0.9718953670578457,22.2994
59,22.409027200830316,32,0.9714094193743169,22.3012
60,26.632111890593578,34,0.9709237146646298,22.3734
61,20.924932666789164,37,0.9704382528072976,22.3497
62,18.648335783769173,36,0.9699530336808939,22.29
63,18.207418138360342,32,0.9694680571640535,22.2252
